Juntas,Area
1,2.001
2,0.82
3,1.27
4,0.958
5,1.162
6,2.014
7,1.078
8,1.234
9,1.262
10,1.347
11,1.313
12,2.449
13,1.445
14,1.209
15,3.564
16,1.59
17,0.891
18,1.329
19,1.403
20,0.626
21,1.65
22,1.551
23,2.118
24,1.194
1,1.113
2,1.072
3,1.042
4,0.725
5,4.218
6,0.881
7,1.608
8,0.446
9,0.582
10,1.282
11,1.484
12,1.246
13,1.323
14,1.21
15,2.013
16,1.358
17,1.579
18,1.223
19,0.96
20,0.718
21,0.707
22,0.992
23,1.142
24,1.287
25,0.599
26,0.664
27,2.119
28,0.926
29,0.889
30,0.929
31,1.579
32,1.888
33,0.481
34,1.695
35,0.871
36,1.262
37,0.471
1,1.493
2,1.461
3,1.326
4,1.301
5,0.982
6,0.705
7,1.819
8,1.437
9,1.049
10,2.014
11,1.276
12,1.589
13,1.412
14,1.08
15,1.037
16,1.672
17,1.224
18,1.403
19,0.724
20,1.736
21,1.601
22,1.432
23,0.449
24,1.245
25,1.011
26,2.151
27,0.986
28,0.981
29,0.658
30,1.064
31,1.341
32,1.044
33,1.337
34,1.341
